language,marital_status,gender,urban_rural,region,age,education_level,social_class,country_name,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q156,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Hindi,Single,Female,Rural,IN-DL Delhi,16-24,Middle,Upper middle class,india,7,4,5,7,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,कम निष्पक्ष और अधिक मानवीय समाज की ओर प्रगति,8,9,3,8,9,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,3,1,3,4,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,बहुत बुरा,काफी अच्छा,बहुत बुरा,काफी अच्छा,पता नहीं,7,1,10,2,1,9,10,महत्वपूर्ण,9,6,काफी सम्मान,काफी गर्व है,पता नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,दृढ़तापूर्वक असहमत,असहमत,सहमत,दृढ़ता से असहमत,सहमत,पता नहीं,पता नहीं,अची बात है,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बल्कि महत्वपूर्ण,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,पता नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,काफी,पता नहीं,काफी,पता नहीं
Hindi,Single,Female,Urban,IN-DL Delhi,16-24,Middle,Lower middle class,india,7,4,5,7,3,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,कम निष्पक्ष और अधिक मानवीय समाज की ओर प्रगति,7,8,3,7,6,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,3,1,3,6,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,बहुत बुरा,काफी अच्छा,बहुत बुरा,काफी अच्छा,पता नहीं,9,1,9,2,1,8,10,महत्वपूर्ण नहीं,7,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,पता नहीं,बल्कि महत्वपूर्ण,सहमत,असहमत,सहमत,दृढ़ता से असहमत,सहमत,पता नहीं,पता नहीं,अची बात है,पता नहीं,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बल्कि महत्वपूर्ण,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,काफी,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,पता नहीं,बिल्कुल भी नहीं,पता नहीं,पता नहीं
Hindi,Single,Female,Urban,IN-DL Delhi,16-24,Middle,Upper middle class,india,8,3,7,8,3,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,कम निष्पक्ष और अधिक मानवीय समाज की ओर प्रगति,8,9,3,8,6,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,6,1,4,6,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,बहुत बुरा,काफी अच्छा,बहुत बुरा,बहुत अच्छा,महत्वपूर्ण नहीं,8,1,10,2,1,9,10,महत्वपूर्ण नहीं,9,6,काफी सम्मान,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बहुत ज़रूरी,दृढ़तापूर्वक असहमत,असहमत,असहमत,दृढ़ता से असहमत,सहमत,पता नहीं,पता नहीं,अची बात है,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,काफी,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,पता नहीं,काफी,पता नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Married,Female,Urban,IN-DL Delhi,25-34,Higher,Upper middle class,india,7,3,7,9,2,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,कम निष्पक्ष और अधिक मानवीय समाज की ओर प्रगति,9,9,3,8,7,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,7,1,4,7,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,बहुत बुरा,काफी अच्छा,बहुत बुरा,बहुत अच्छा,महत्वपूर्ण नहीं,8,1,10,2,1,10,10,महत्वपूर्ण नहीं,9,6,काफी सम्मान,काफी गर्व है,महत्वपूर्ण नहीं,सहमत,असहमत,बहुत ज़रूरी,दृढ़तापूर्वक असहमत,दृढ़तापूर्वक असहमत,सहमत,दृढ़ता से असहमत,ना तो सहमत ना ही असहमत,बल्कि महत्वपूर्ण,पता नहीं,अची बात है,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बल्कि महत्वपूर्ण,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,काफी,काफी,काफी,काफी,बहुत ज़्यादा नहीं
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Higher,Lower middle class,india,7,4,5,6,3,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,कम निष्पक्ष और अधिक मानवीय समाज की ओर प्रगति,8,9,3,8,5,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,6,1,4,6,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी अच्छा,बहुत बुरा,काफी अच्छा,पता नहीं,7,1,10,2,1,9,10,महत्वपूर्ण नहीं,9,5,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,सहमत,असहमत,बल्कि महत्वपूर्ण,पता नहीं,पता नहीं,पता नहीं,दृढ़ता से असहमत,सहमत,बल्कि महत्वपूर्ण,पता नहीं,अची बात है,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत महत्वपूर्ण नहीं,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,काफी,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,काफी,बहुत ज़्यादा नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Lower middle class,india,7,4,2,7,3,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,कम निष्पक्ष और अधिक मानवीय समाज की ओर प्रगति,7,8,3,7,5,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,3,1,2,4,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी अच्छा,बहुत बुरा,काफी अच्छा,पता नहीं,7,1,9,2,1,8,9,महत्वपूर्ण नहीं,7,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,पता नहीं,बल्कि महत्वपूर्ण,सहमत,पता नहीं,पता नहीं,ना तो सहमत ना ही असहमत,सहमत,पता नहीं,पता नहीं,अची बात है,पता नहीं,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,काफी,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,पता नहीं,बिल्कुल भी नहीं,काफी,पता नहीं
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Upper middle class,india,7,3,6,8,3,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,कम निष्पक्ष और अधिक मानवीय समाज की ओर प्रगति,9,9,3,8,5,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,5,1,3,7,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी अच्छा,बहुत बुरा,बहुत अच्छा,पता नहीं,7,1,10,2,1,9,10,महत्वपूर्ण नहीं,9,6,काफी सम्मान,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,पता नहीं,बहुत ज़रूरी,पता नहीं,असहमत,दृढ़तापूर्वक असहमत,दृढ़ता से असहमत,सहमत,पता नहीं,पता नहीं,अची बात है,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,पता नहीं,काफी,पता नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Single,Male,Urban,IN-DL Delhi,16-24,Middle,Working class,india,7,3,2,7,3,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,कम निष्पक्ष और अधिक मानवीय समाज की ओर प्रगति,7,8,2,7,3,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,3,1,3,4,1,3,पता नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी अच्छा,बहुत बुरा,काफी अच्छा,पता नहीं,8,1,9,2,1,8,9,पता नहीं,7,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,पता नहीं,बल्कि महत्वपूर्ण,सहमत,पता नहीं,पता नहीं,ना तो सहमत ना ही असहमत,सहमत,पता नहीं,पता नहीं,अची बात है,पता नहीं,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,पता नहीं,बिल्कुल भी नहीं,काफी,पता नहीं
Hindi,Living together as married,Male,Urban,IN-DL Delhi,35-44,Middle,Lower middle class,india,7,4,3,6,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,एक स्थिर अर्थव्यवस्था,6,7,6,7,7,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,2,1,2,6,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी अच्छा,बहुत बुरा,काफी अच्छा,पता नहीं,7,1,9,2,1,8,7,महत्वपूर्ण नहीं,7,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,सहमत,सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,सहमत,असहमत,सहमत,बहुत महत्वपूर्ण नहीं,बुरी चीज़,पता नहीं,पता नहीं,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बल्कि महत्वपूर्ण,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पता नहीं,काफी,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,पता नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Married,Male,Urban,IN-DL Delhi,35-44,Middle,Lower middle class,india,7,3,3,7,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,एक स्थिर अर्थव्यवस्था,7,8,6,7,7,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,महत्वपूर्ण,कभी भी न्यायोचित नहीं,कभी भी न्यायोचित नहीं,2,1,2,6,1,3,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी अच्छा,बहुत बुरा,काफी अच्छा,पता नहीं,7,1,9,2,1,8,7,महत्वपूर्ण नहीं,7,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,सहमत,सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,सहमत,ना तो सहमत ना ही असहमत,सहमत,बल्कि महत्वपूर्ण,बुरी चीज़,अची बात है,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बल्कि महत्वपूर्ण,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,पता नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
