country_name,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
egypt,Arabic,Married,Female,Rural,EG-ASN Aswan,35-44,Lower,Working class,6,5,7,5,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,نعم,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,8,9,6,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,1,1,10,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,مهم,8,4,8,3,3,7,10,مهم,9,5,احترام كبير إلى حد ما,فخور جدًا,مهم,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,لا مانع,شيء جيد,لا مانع,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,ليس كثيرا,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,كثير جدا,كثير جدا,كثير جدا,صفقة عظيمة,كثير جدا,ليس كثيرا
egypt,Arabic,Married,Male,Rural,EG-ASN Aswan,45-54,Lower,Working class,6,5,5,7,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,نعم,التأكد من أن هذا البلد لديه قوات دفاعية قوية,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,8,7,5,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,3,2,1,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,مهم,8,4,8,3,3,7,10,مهم,9,5,احترام كبير إلى حد ما,فخور جدًا,مهم,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,لا مانع,شيء جيد,شيء جيد,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,ليس كثيرا,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,كثير جدا,كثير جدا,كثير جدا,كثير جدا,كثير جدا,ليس كثيرا
egypt,Arabic,Married,Female,Rural,EG-AST Asyut,16-24,Lower,Lower class,6,3,1,5,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,لا,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,7,8,5,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,1,1,10,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,سيئة إلى حد ما,جيد إلى حد ما,مهم,8,3,9,5,2,7,10,مهم,8,3,احترام كبير إلى حد ما,فخور جدًا,مهم,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,لا مانع,شيء جيد,شيء جيد,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم جدا,ثق إلى حد ما,لا تثق كثيرا,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,No Answer,No Answer,No Answer,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,لا شيء على الإطلاق,كثير جدا,صفقة عظيمة,ليس كثيرا,ليس كثيرا
egypt,Arabic,Married,Female,Rural,EG-BH Beheira,45-54,Lower,Lower class,6,3,7,6,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,لا,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,7,8,5,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,1,1,10,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,مهم,8,3,9,5,2,7,10,مهم,9,3,احترام كبير إلى حد ما,فخور جدًا,مهم,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,لا مانع,شيء جيد,شيء جيد,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم جدا,ثق إلى حد ما,لا تثق كثيرا,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,لا شيء على الإطلاق,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,لا شيء على الإطلاق,كثير جدا,صفقة عظيمة,ليس كثيرا,ليس كثيرا
egypt,Arabic,Widowed,Female,Rural,EG-BH Beheira,55-64,Lower,Lower class,6,5,1,6,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,لا,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,7,8,5,6,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,1,1,10,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,مهم,8,3,9,5,3,7,10,مهم,9,3,احترام كبير إلى حد ما,فخور جدًا,مهم,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,شيء سيء,شيء جيد,شيء جيد,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم جدا,ثق إلى حد ما,لا تثق كثيرا,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,لا شيء على الإطلاق,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,لا شيء على الإطلاق,كثير جدا,كثير جدا,ليس كثيرا,ليس كثيرا
egypt,Arabic,Married,Male,Rural,EG-BH Beheira,55-64,Lower,Lower class,6,5,7,5,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,نعم,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,7,8,5,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,1,1,1,ليس مهماً,مهم إلى حد ما,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,مهم,8,3,9,5,3,7,10,مهم,9,3,احترام كبير إلى حد ما,فخور جدًا,ليس مهماً,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,شيء سيء,شيء جيد,شيء جيد,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم جدا,ثق إلى حد ما,لا تثق كثيرا,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,لا شيء على الإطلاق,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,لا شيء على الإطلاق,كثير جدا,كثير جدا,ليس كثيرا,ليس كثيرا
egypt,Arabic,Married,Female,Urban,EG-C Cairo,25-34,Middle,Lower middle class,6,5,5,7,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,نعم,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,8,9,5,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,5,2,1,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,سيئة إلى حد ما,جيد إلى حد ما,مهم,8,4,8,3,3,7,10,مهم,9,5,احترام كبير إلى حد ما,فخور جدًا,ليس مهماً,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,لا مانع,شيء جيد,لا مانع,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,ليس كثيرا,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,كثير جدا,كثير جدا,كثير جدا,صفقة عظيمة,كثير جدا,ليس كثيرا
egypt,Arabic,Married,Female,Urban,EG-C Cairo,35-44,Middle,Lower middle class,6,5,5,7,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,لا,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,8,9,5,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,5,2,1,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,مهم,8,4,8,3,3,7,10,مهم,9,5,احترام كبير إلى حد ما,فخور جدًا,ليس مهماً,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,لا مانع,شيء جيد,لا مانع,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,ليس كثيرا,كثير جدا,ليس كثيرا,ليس كثيرا,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,كثير جدا,كثير جدا,كثير جدا,صفقة عظيمة,كثير جدا,ليس كثيرا
egypt,Arabic,Single,Male,Urban,EG-C Cairo,16-24,Middle,Lower middle class,6,5,5,7,5,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,نعم,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,8,9,5,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,5,2,1,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,مهم,8,3,9,5,2,7,10,مهم,9,5,احترام كبير إلى حد ما,فخور جدًا,مهم,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,لا مانع,شيء جيد,لا مانع,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,ليس كثيرا,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,كثير جدا,كثير جدا,كثير جدا,صفقة عظيمة,ليس كثيرا,ليس كثيرا
egypt,Arabic,Married,Female,Rural,EG-DK Dakahlia,35-44,Lower,Lower middle class,6,5,5,7,3,ويجب إعطاء الأولوية لحماية البيئة، حتى لو أدى ذلك إلى تباطؤ النمو الاقتصادي وفقدان بعض الوظائف.,نعم,رؤية أن الناس لديهم رأي أكبر حول كيفية إنجاز الأمور في وظائفهم وفي مجتمعاتهم,إعطاء الناس المزيد من الكلمة في القرارات الحكومية المهمة,8,9,6,7,9,غير مبرر أبدًا,غير مبرر أبدًا,ليس مهماً,غير مبرر أبدًا,غير مبرر أبدًا,1,1,1,4,2,1,ليس مهماً,مهم جدا,مهم,مهم,مهم,ليس مهماً,سيئة إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,جيد إلى حد ما,مهم,8,4,8,3,3,7,10,مهم,9,5,احترام كبير إلى حد ما,فخور جدًا,مهم,أوافق بشدة,لا أوافق,مهم إلى حد ما,يوافق,لا أوافق,يوافق,لا أوافق,يوافق,ليس مهمًا جدًا,لا مانع,شيء جيد,لا مانع,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,مهم جدا,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ثق إلى حد ما,ليس كثيرا,كثير جدا,ليس كثيرا,كثير جدا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,ليس كثيرا,كثير جدا,كثير جدا,كثير جدا,صفقة عظيمة,كثير جدا,ليس كثيرا
