country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Higher,Lower middle class,8,6,9,8,3,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,9,6,9,9,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,1,8,1,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी अच्छा,बहुत बुरा,बहुत अच्छा,पता नहीं,9,2,10,8,2,10,10,महत्वपूर्ण,9,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,दृढ़तापूर्वक असहमत,बल्कि महत्वपूर्ण,दृढ़तापूर्वक असहमत,दृढ़तापूर्वक असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,पता नहीं,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,पता नहीं,पता नहीं,काफी,पता नहीं,काफी,काफी,काफी,काफी
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,8,8,9,8,4,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,9,8,9,10,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,2,1,1,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी बुरा,बहुत बुरा,बहुत अच्छा,महत्वपूर्ण,9,2,10,8,2,10,10,महत्वपूर्ण,8,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,दृढ़तापूर्वक असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,पता नहीं,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,पता नहीं,पता नहीं,काफी,बहुत ज़्यादा नहीं,काफी,काफी,काफी,काफी
India,Hindi,Married,Female,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,8,6,9,8,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,9,6,9,10,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,1,8,1,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी अच्छा,बहुत बुरा,बहुत अच्छा,पता नहीं,9,2,10,8,2,10,10,महत्वपूर्ण,9,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,दृढ़तापूर्वक असहमत,दृढ़तापूर्वक असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,पता नहीं,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,काफी,पता नहीं,काफी,पता नहीं,काफी,काफी,काफी,काफी
India,Hindi,Married,Female,Rural,IN-BR Bihar,45-54,Middle,Lower middle class,8,8,9,7,4,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,8,8,9,10,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,2,1,1,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी बुरा,बहुत बुरा,बहुत अच्छा,महत्वपूर्ण,9,2,10,8,2,10,10,महत्वपूर्ण,8,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,पता नहीं,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,काफी,पता नहीं,काफी,बहुत ज़्यादा नहीं,काफी,काफी,काफी,काफी
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,8,6,9,8,4,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,9,8,9,10,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,2,2,2,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी बुरा,बहुत बुरा,बहुत अच्छा,महत्वपूर्ण,9,2,10,8,2,10,10,महत्वपूर्ण,8,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,पता नहीं,पता नहीं,काफी,बहुत ज़्यादा नहीं,काफी,काफी,काफी,पता नहीं
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Upper middle class,9,4,8,9,2,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,राष्ट्र में व्यवस्था बनाए रखना,9,9,6,9,10,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,2,2,2,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी अच्छा,बहुत बुरा,बहुत अच्छा,महत्वपूर्ण नहीं,9,2,10,8,2,10,10,महत्वपूर्ण,9,7,पता नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,बुरा मत मानना,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,काफी,काफी,काफी,काफी,पता नहीं,काफी,काफी,काफी,काफी,काफी,काफी
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,8,6,6,8,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,9,6,9,9,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,2,2,2,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी अच्छा,बहुत बुरा,बहुत अच्छा,पता नहीं,9,2,10,8,2,10,10,महत्वपूर्ण,9,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,पता नहीं,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,पता नहीं,पता नहीं,काफी,पता नहीं,काफी,काफी,काफी,काफी
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Middle,Lower middle class,8,6,9,8,4,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,9,8,9,10,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,2,2,1,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी बुरा,बहुत बुरा,बहुत अच्छा,महत्वपूर्ण,9,2,10,8,2,10,10,महत्वपूर्ण,8,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,पता नहीं,पता नहीं,काफी,पता नहीं,काफी,काफी,काफी,काफी
India,Hindi,Single,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,8,6,8,8,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,9,6,9,9,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,2,2,2,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी अच्छा,बहुत बुरा,बहुत अच्छा,पता नहीं,9,2,10,8,2,10,10,महत्वपूर्ण,9,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,पता नहीं,पता नहीं,काफी,पता नहीं,काफी,काफी,काफी,काफी
India,Hindi,Married,Male,Rural,IN-BR Bihar,35-44,Middle,Lower middle class,8,6,9,8,4,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,बढ़ती कीमतों से लड़ना,8,9,8,9,10,2,2,महत्वपूर्ण,1,कभी भी न्यायोचित नहीं,1,1,2,2,1,2,महत्वपूर्ण नहीं,बहुत ज़रूरी,पता नहीं,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी बुरा,बहुत बुरा,बहुत अच्छा,महत्वपूर्ण,9,2,10,8,2,10,10,महत्वपूर्ण,8,6,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,पूरी तरह सहमत,दृढ़ता से असहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,बुरी चीज़,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,पता नहीं,पता नहीं,काफी,काफी,पता नहीं,पता नहीं,काफी,पता नहीं,काफी,काफी,काफी,काफी
